성별,혈액형별,혈액원별,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년
남자,O+,서울중앙,45967.0,47749.0,37832.0,40468.0,40474.0,46782.0,44866.0,44866.0,44866.0,44866.0,44866.0,44866.0,44866.0,53181.0,50466.0,43445.0,43013.0,42623.0,45491.0,45761.0
남자,O+,서울서부,31097.0,31407.0,32294.0,34538.0,38498.0,17518.0,49093.0,52948.0,57909.0,63908.0,62502.0,56933.0,55102.0,44904.0,44904.0,44904.0,44904.0,44904.0,44904.0,44904.0
남자,O+,서울남부,41058.0,41783.0,37318.0,39400.0,42406.0,44876.0,44621.0,45485.0,47027.0,46468.0,44955.0,45875.0,50295.0,47434.0,43836.0,39017.0,35767.0,36349.0,40105.0,41381.0
남자,O+,서울동부,43138.0,40800.0,34478.0,36767.0,38327.0,43953.0,46757.0,48943.0,53445.0,57424.0,56131.0,53288.0,54803.0,54459.0,51377.0,46584.0,45980.0,45546.0,49611.0,49468.0
남자,O+,부산,44622.0,43615.0,40588.0,43562.0,44321.0,45757.0,41729.0,41613.0,42447.0,42652.0,43015.0,39245.0,42462.0,43115.0,40951.0,37632.0,37201.0,37446.0,38354.0,38959.0
남자,O+,대구·경북,40685.0,39276.0,32829.0,36913.0,42001.0,40549.0,39295.0,41966.0,45846.0,48976.0,49020.0,46846.0,48350.0,49399.0,46588.0,39007.0,45050.0,44596.0,47144.0,48497.0
남자,O+,인천,24781.0,24143.0,21898.0,23693.0,24834.0,28020.0,31821.0,31511.0,31917.0,33402.0,32879.0,31139.0,31966.0,30485.0,30756.0,32852.0,33086.0,33250.0,35429.0,36995.0
남자,O+,울산,17494.0,18047.0,14789.0,15569.0,16096.0,15425.0,15096.0,15783.0,16492.0,18675.0,18894.0,17568.0,17937.0,18032.0,18811.0,17478.0,17639.0,17771.0,20830.0,21904.0
남자,O+,경기,32159.0,31723.0,28619.0,30506.0,33362.0,33869.0,34922.0,34967.0,38164.0,40945.0,43543.0,42464.0,44252.0,42990.0,44329.0,47715.0,46862.0,43873.0,46880.0,46934.0
남자,O+,강원,21108.0,18653.0,15473.0,17034.0,17515.0,17961.0,19606.0,23506.0,26232.0,27217.0,32278.0,33382.0,34779.0,36790.0,35386.0,32247.0,30611.0,27440.0,29234.0,31445.0
남자,O+,충북,16586.0,16929.0,15831.0,17946.0,20993.0,21124.0,18987.0,20844.0,19814.0,19825.0,19445.0,17938.0,19341.0,19367.0,19355.0,17872.0,17441.0,16759.0,17530.0,18312.0
남자,O+,대전·세종·충남,38249.0,31699.0,31308.0,35655.0,37794.0,39980.0,39486.0,40917.0,43863.0,45568.0,48278.0,46521.0,47064.0,48243.0,47444.0,45970.0,44675.0,44113.0,45402.0,46684.0
남자,O+,전북,24743.0,23275.0,20323.0,21512.0,23969.0,24320.0,23705.0,24013.0,24876.0,23359.0,24940.0,22937.0,22916.0,21525.0,21455.0,20414.0,20301.0,17962.0,19224.0,19878.0
남자,O+,광주·전남,33978.0,37237.0,32418.0,34132.0,35452.0,34235.0,31975.0,31793.0,34764.0,36082.0,36776.0,34674.0,38600.0,36754.0,37075.0,33145.0,33281.0,32634.0,34006.0,33799.0
남자,O+,경남,24081.0,23885.0,20439.0,23151.0,25377.0,26144.0,25027.0,26033.0,27995.0,30059.0,28892.0,27415.0,27782.0,27879.0,27775.0,27319.0,26401.0,25374.0,27399.0,27894.0
남자,O+,제주,6807.0,6396.0,5701.0,6236.0,6765.0,6701.0,5927.0,5735.0,6045.0,6481.0,7258.0,6685.0,7015.0,6520.0,6773.0,8015.0,8055.0,8147.0,9078.0,9287.0
남자,O+,대한적십자사 외,11673.0,11994.0,12765.0,17265.0,22123.0,27428.0,29195.0,31377.0,34902.0,35926.0,37947.0,39027.0,39314.0,36600.0,35272.0,34412.0,34137.0,38977.0,45244.0,42228.0
남자,A+,서울중앙,57467.0,59196.0,46545.0,49904.0,50018.0,58924.0,55874.0,55874.0,55874.0,55874.0,55874.0,55874.0,55874.0,66845.0,62401.0,54442.0,52988.0,53364.0,56750.0,57519.0
남자,A+,서울서부,38925.0,39441.0,41024.0,44415.0,49818.0,22848.0,61908.0,65761.0,72047.0,81161.0,80240.0,72561.0,69084.0,56864.0,56864.0,56864.0,56864.0,56864.0,56864.0,56864.0
남자,A+,서울남부,50556.0,51469.0,46596.0,48617.0,52498.0,54559.0,54711.0,56890.0,58944.0,57887.0,56196.0,57372.0,63188.0,59235.0,54200.0,49413.0,45589.0,45211.0,49850.0,52847.0
남자,A+,서울동부,53955.0,51525.0,43457.0,45732.0,48880.0,55280.0,58343.0,62112.0,67873.0,72461.0,70394.0,67191.0,69387.0,69575.0,63469.0,58288.0,56913.0,56473.0,61615.0,61579.0
남자,A+,부산,56306.0,55685.0,51306.0,54118.0,54652.0,57961.0,52060.0,52663.0,53714.0,54669.0,55069.0,49641.0,51760.0,53916.0,51572.0,48049.0,46698.0,48124.0,49468.0,50032.0
남자,A+,대구·경북,49204.0,46634.0,39362.0,44378.0,50744.0,48940.0,47749.0,51435.0,55966.0,60273.0,60150.0,56769.0,57385.0,58932.0,55991.0,46574.0,53183.0,52779.0,55796.0,58483.0
남자,A+,인천,30786.0,29537.0,27203.0,29769.0,30630.0,34884.0,39136.0,39169.0,40157.0,42870.0,41971.0,38675.0,39416.0,37808.0,38101.0,40378.0,40605.0,40601.0,42674.0,45704.0
